chr,start,end,strand,symbol,perc_meth.NGO,perc_meth.GVO
chr1,100028043,100041232,+,1810006J02Rik,0.002820874,0.075055188
chr1,10014911,10027979,-,Cops5,0.013033175,0.80724234
chr1,10028298,10126849,+,Cspp1,0.020347689,0.800429987
chr1,100317700,100405957,+,Slco6d1,0.053946054,0.23874617
chr1,100317700,100405957,+,Slco6d1,0.053946054,0.23874617
chr1,100317700,100405957,+,Slco6d1,0.053946054,0.23874617
chr1,100317700,100405957,+,Slco6d1,0.053946054,0.23874617
chr1,10127587,10222751,-,Arfgef1,0.022622108,0.857411117
chr1,101669341,102382519,+,Cntnap5b,0.014792074,0.207210751
chr1,103052344,103071779,+,Gm20268,0.028462998,0.227713178
chr1,10314807,10710024,-,Cpa6,0.072056542,0.786812349
chr1,106665395,106892058,+,Cdh20,0.019289206,0.202612356
chr1,107173493,107253287,-,Rnf152,0.010115607,0.515706188
chr1,107173493,107253287,-,Rnf152,0.010115607,0.515706188
chr1,107173493,107253287,-,Rnf152,0.010115607,0.515706188
chr1,107173493,107253287,-,Rnf152,0.010115607,0.515706188
chr1,107414998,107560253,-,Pign,0.055896053,0.810303894
chr1,107560437,107651708,+,2310035C23Rik,0.009992314,0.681290543
chr1,107560437,107651708,+,2310035C23Rik,0.009992314,0.681290543
chr1,107560437,107651708,+,2310035C23Rik,0.009992314,0.681290543
chr1,107560437,107651708,+,2310035C23Rik,0.009992314,0.681290543
chr1,107677299,107744558,+,Tnfrsf11a,0.014012739,0.023163468
chr1,107886982,107930654,+,Zcchc2,0.011018609,0.639648333
chr1,107886982,107930654,+,Zcchc2,0.011018609,0.639648333
chr1,107886982,107930654,+,Zcchc2,0.011018609,0.639648333
chr1,107886982,107930654,+,Zcchc2,0.011018609,0.639648333
chr1,108049201,108068101,-,Gm20753,0.005649718,0.035823504
chr1,108068445,108290822,+,Phlpp1,0.015713388,0.675496366
chr1,108434755,108610867,-,Bcl2,0.009163103,0.216847454
chr1,108608349,108610867,-,Bcl2,0.004172462,0.010081916
chr1,108616986,108656319,-,Kdsr,0.019690123,0.786729164
chr1,108667364,108693302,-,Vps4b,0.011954993,0.623222749
chr1,108757756,108779925,+,Serpinb5,0.010660981,0.03180212
chr1,108831025,108853655,+,Serpinb12,0.004,0.560915275
chr1,108835533,108853657,+,Serpinb12,0.005025126,0.679906542
chr1,108877560,108897772,+,Serpinb13,0.018791946,0.064005506
chr1,108942163,108948880,-,Serpinb3a,0.007462687,0.950617284
chr1,108974769,108980057,-,Serpinb3d,0.009433962,0.127118644
chr1,109050537,109057691,-,Serpinb3b,0.013333333,0.768545994
chr1,109167777,109174948,-,Serpinb3c,0.021428571,0.102902375
chr1,109258890,109277052,+,Serpinb11,0.009308511,0.070981211
chr1,109319265,109349266,+,Serpinb7,0.007033998,0.178233438
chr1,109407999,109422177,+,Serpinb2,0.002724796,0.858505564
